Word,Sentence,Meaning
To sit an exam,"It is stressful to sit an exam, so I think that continuous assessment is a fairer system.",to take an exam
To drop out of college,A number of students drop out of college when faced with the pressure of formal exams.,to leave college or university without finishing your studies
To deliver a lecture,It is just as easy to deliver a lecture online as it is to give a lecture in front of a class of students in a lecture theatre.,to give a lecture.
To have a good grasp of something,Children who begin to learn a foreign language in primary school are usually able to have a good grasp of the new language quickly.,to understand a problem deeply and completely.
To have an important/vital/essential role to play in ST,Many educators support the view that homework has an important/ vital/ essential role to play in the schooling of children.,of great significance or value.
To broaden one’s horizon/perspective/experience/knowledge,A vocational course in journalism helps school-leavers broaden their knowledge of the world of the media.,to increase the range of one’s knowledge and experience; enrich one’s knowledge.
To improve their level of academic performance,Children can improve their level of academic performance by doing all their homework regularly and carefully.,to get better academic results.
To develop/encourage an independent study habit,"It is important for children to develop an independent study habit, because this prepares them to work alone as adults.",to support students in their acquiring independent learning skills.
To pass a test/graduate with flying colours,Her parents were delighted when they learned that she had graduated with flying colours.,to pass a test/graduate with complete or outstanding success
To engage face-to-face with sb,"The main drawback of the trend towards online university courses is that there is less direct interaction, which means students may not have the opportunity to engage faceto-face with their teachers","to have a conversation, with the people involved being close together and looking directly at each other, for example in a classroom."
To pursue higher education,In the UK it is quite common for students to take a year out before pursuing higher education at university.,"to continue to study at higher and higher levels, such as university."
To be admitted to a top-tier school,"If John had not worked hard, he would not have been admitted to a top-tier school like Harvard.",to gain entry to a high-ranking school.
To increase the provision of vocational courses for school-leavers:,"Not every student wishes to pursue academic studies, so governments should increase the provision of vocational courses for school-leavers.",to offer courses in vocational training to high school graduates.
To give feedback to students,One disadvantage of the virtual classroom is that there is no teacher to give feedback to students on their mistakes.,to give guidance on the work of a student through comments or corrections.
To be on the brink of extinction,"Before the captive breeding program in zoos, the giant panda was on the brink of extinction.",an animal or plant which has almost disappeared from the planet.
To discharge toxic chemical waste,"Nowadays, more and more industrial companies are discharging toxic chemical waste into rivers, causing death to many fish and other aquatic animals.",to dispose of poisonous waste products from chemical processes by putting them into rivers or oceans.
To deplete natural resources,Timber companies must not be allowed to deplete natural resources by cutting down trees without planting new trees to replace them.,to reduce the amount of natural resources.
To take action on global warming,"There have been numerous international conferences to warn of the dangers, but many governments have refused to take action on global warming.",to do what has to be done on problems related to global warming
To cut down on emissions,People must be made aware of the need to cut down on emissions from their cars if we are to reduce air pollution.,to reduce the amount of gases sent out into the air.
To fight climate change,"Unless we consume less of the Earth’s natural resources, it will be impossible to fight climate change and safeguard our future.","To try to prevent harmful changes in climate patterns, such as rainfall, temperature and winds."
To reduce the dependence/reliance on fossil fuels,Governments must invest heavily in solar and wind energy projects in order to reduce our dependence/reliance on fossil fuels.,"to decrease people’s consumption of fossil fuels, like oil, coal or gases."
To alleviate environmental problems,"Everyone can assist in the effort to alleviate environmental problems in the local community, through simple actions such as recycling waste or planting a tree in their garden.",to make bad environmental problems less severe.
To achieve sustainable development,Organic methods must be introduced everywhere in order to achieve sustainable development in agriculture.,economic development that is achieved without depleting natural resources.
To be environmentally friendly,We can help to protect the environment by using cleaning products and cosmetics that are environmentally friendly.,this refers to behavior or products which do not harm the environment.
Environmental degradation,Africa is a continent in which environmental degradation is evident in the spread of deserts and the extinction of animal species.,the process or fact of the environment becoming worse.
Alternative energy sources,"Clean energy which does not pollute the Earth can only come from greater reliance on alternative energy sources, such as wind or solar power.",refers to any energy source that is an alternative to fossil fuel.
Renewable energy,"More subsidies are required from government funds to help firms to develop renewable energy, such as companies which produce solar panels for buildings.","energy is renewable when its source, like the sun or wind, cannot be exhausted or can easily be replaced (like wood, as we can plant trees for energy)."
Habitat destruction,The elephant population in the world is declining because of habitat destruction caused by human exploitation of the environment.,"the process that occurs when a natural habitat, like a forest or wetland, is changed so dramatically by humans that plants and animals which live there die."
To have a devastating effect on something,"Toxic emissions from factories and exhaust fumes from vehicles lead to global warming, which may have a devastating effect on the planet in the future.",to cause a lot of damage or destruction to something.
The greenhouse effect,"Our burning of fossil fuels is increasing the greenhouse effect and making the Earth hotter, endangering all life on the planet.",the natural process by which the sun warms the surface of the Earth.
To acquire/obtain (experience/knowledge/skill),Some school leavers prefer to acquire/obtain experience working in a chosen profession rather than entering university.,to gain experience/knowledge/skill by your own efforts or behavior
To build/to cement a strong relationship with,"If people work at home, they will not know how to build/to cement a strong relationship with other workers and learn how to manage conflicts.",to form a relationship with somebody that is solid and usually lasts for a long time.
To enhance their resume,Volunteer work often provides valuable experience and enhances their resume when young people seek a job in the future.,to make your CV stand out by adding specific experiences you have that match the job.
To master vital soft skills,"Employees and students have a hard time mastering vital soft skills. However, employees in an office have a good opportunity to work with lots of colleagues from different backgrounds, which allows/enables them to gain the relevant experience in dealing with others.","to learn to acquire some important skills (teamwork, problem solving, leadership…) completely."
To allow … to meet basic human needs,"Being offered a living wage allows employees to meet basic human needs, such as food, clothes and housing.",to facilitate the ability to pay for the necessary things to sustain life.
To progress rapidly in their career,"A person who chooses to get a job instead of pursuing higher education is likely to progress rapidly in their career, because they gain experience at an early age.",to make great advancement in your job.
To move up/climb the career ladder,Ambitious employees look for a job in which there is a chance to move up/climb the career ladder.,a series of stages by which you can make progress in your career
